ontology,metric,value
music,error,[Errno 2] No such file or directory: 'C:\\Users\\irisf\\OneDrive\\Documents\\GitHub\\thesis-ontology-evaluation-comparison\\scripts\\data\\phase2\\ontologies\\music-generated.ttl'
hospital,error,[Errno 2] No such file or directory: 'C:\\Users\\irisf\\OneDrive\\Documents\\GitHub\\thesis-ontology-evaluation-comparison\\scripts\\data\\phase2\\ontologies\\hospital-generated.ttl'
