ontology,metric,value
music,satisfied,13
music,total,15
music,coverage_pct,86.7
music,cq_source,data\phase2\competency-questions\music-cq.txt
hospital,satisfied,11
hospital,total,15
hospital,coverage_pct,73.3
hospital,cq_source,data\phase2\competency-questions\hospital-cq.txt
