ontology,metric,value
ontology_1,T,0.12
ontology_1,ABF,3.25
ontology_1,LR,0.84
ontology_1,max_depth,2
ontology_1,avg_depth,0.44
ontology_2,T,0.1212
ontology_2,ABF,2.2222
ontology_2,LR,0.7273
ontology_2,max_depth,2
ontology_2,avg_depth,0.6061
ref_ontology_1,T,0.0
ref_ontology_1,ABF,3.6667
ref_ontology_1,LR,0.85
ref_ontology_1,max_depth,2
ref_ontology_1,avg_depth,0.7833
ref_ontology_2,T,0.0
ref_ontology_2,ABF,0.0
ref_ontology_2,LR,0.0
ref_ontology_2,max_depth,0
ref_ontology_2,avg_depth,0.0
