direction,source,target,source_path,target_path,class_string_matching,property_string_matching,class_relative_hit,property_relative_hit,taxonomic_overlap,relation_overlap,source_class_lexical_entries,target_class_lexical_entries,source_property_lexical_entries,target_property_lexical_entries,exact_class_lexical_hits,exact_property_lexical_hits
generated_to_reference,generated,reference,data/ontologies/music-final.ttl,data/ontologies/music-ref.rdfs,0.3197487004973636,0.4367333845109304,0.06060606060606061,0.01818181818181818,0.015007215007215005,0.0,33,69,55,164,2,1
reference_to_generated,reference,generated,data/ontologies/music-ref.rdfs,data/ontologies/music-final.ttl,0.23953275695603063,0.2594929363781304,0.028985507246376812,0.006097560975609756,0.0020703933747412005,0.0,69,33,164,55,2,1
