ontology,metric,value
music,satisfied,12
music,total,15
music,coverage_pct,80.0
music,cq_source,data\CQs\music-cq.txt
hospital,satisfied,9
hospital,total,15
hospital,coverage_pct,60.0
hospital,cq_source,data\CQs\hospital-cq.txt
