comparison,ontology,story_path,error,ontology_key
music_final_vs_music_story,music_final_vs_music_story,data/phase2/domain-stories/music-story.txt,[Errno 2] No such file or directory: 'C:\\Users\\irisf\\OneDrive\\Documents\\GitHub\\thesis-ontology-evaluation-comparison\\scripts\\data\\phase2\\ontologies\\music-generated.ttl',music
hospital_final_vs_hospital_story,hospital_final_vs_hospital_story,data/phase2/domain-stories/hospital-story.txt,[Errno 2] No such file or directory: 'C:\\Users\\irisf\\OneDrive\\Documents\\GitHub\\thesis-ontology-evaluation-comparison\\scripts\\data\\phase2\\ontologies\\hospital-generated.ttl',hospital
