comparison,ontology_path,story_path,classes,properties,ontology_labels,ontology_profile_terms,source_profile_terms,overlap_terms,ontology_token_total,source_token_total,cosine_similarity,weighted_precision_ontology_terms_in_source,weighted_recall_source_terms_in_ontology,weighted_f1,unique_term_jaccard,top_missing_source_terms,top_ontology_only_terms,source_character_count,ontology_key
music_final_vs_music_story,data\phase2\ontologies\music-generated.ttl,data/phase2/domain-stories/music-story.txt,25,53,99,51,78,12,182,103,0.3119169526635043,0.10989010989010989,0.1941747572815534,0.14035087719298245,0.10256410256410256,red|hot|chili|pepper|frusciante|vocal|guitar|chad|smith|replaced|stadium|arcadium|production|configuration|anthony|kiedi|flea|bass|trumpet|keyboard|john|drum|line|changed|few|hillel|slovak|jack|iron|left|briefly|peligo|until|found|addition|playing|also|contributed|mar|volta|vocalist|some|september|started|released|may|include|hump|bump|composed|january|crian|hiatt|defined|most|ambitiou|work|twenty|three|year|career|august|gave|portland|oregon|featuring,date|membership|event|composition|performed|member|person|release|role|musician|end|musical|location|record|start|instrument|statement|artist|group|function|city|state|interval|name|recorded|perform|located|region|reviewed|country|individual|text|reified|entity|compos|play|optional|concert|session,1011,music
hospital_final_vs_hospital_story,data\phase2\ontologies\hospital-generated.ttl,data/phase2/domain-stories/hospital-story.txt,33,64,113,61,86,27,174,132,0.3907519351582689,0.2413793103448276,0.3181818181818182,0.27450980392156865,0.225,pasquale|gennaro|ospedale|riunito|delle|tre|valli|care|become|working|nocera|inferiore|nurs|patient|both|entitled|cancer|italian|setting|first|studied|after|some|decided|continue|studying|took|may|september|organising|staff|male|senior|all|these|written|reference|constantly|update|knowledge|read|research|can|found|available|electronically|practice|longitudinal|study|published|program|improving|experience|direction|discussing|new|number|december|such,date|membership|occurrence|person|evaluation|member|presentation|count|name|role|start|publication|country|located|employer|event|employment|organization|association|location|evaluatee|institution|awarded|reified|group|title|end|represent|evaluator|part|agent|temporal|venue|medical,1431,hospital
