card_a,card_b,cooccurrence_count
M21,M22,13
M21,M24,13
M21,M26,13
M22,M24,13
M22,M26,13
M24,M26,13
M03,M07,12
M03,M12,12
M12,M38,12
M21,M23,12
M21,M25,12
M22,M23,12
M22,M25,12
M23,M24,12
M23,M26,12
M24,M25,12
M25,M26,12
M28,M31,12
M01,M12,11
M02,M11,11
