,A,B,C,D
A,9.155555555555555,1.2666666666666666,1.8666666666666667,1.3
B,1.2666666666666666,9.0,1.5555555555555556,1.1111111111111112
C,1.8666666666666667,1.5555555555555556,5.333333333333333,1.8055555555555556
D,1.3,1.1111111111111112,1.8055555555555556,8.028985507246377
