export_code,quality_concern_instances,suggested_instances,custom_instances,distinct_suggested_chip_ids,used_any_quality_concern,used_suggested_set
1vtb,10,10,0,6,True,True
2gqa,0,0,0,0,False,False
80gv,0,0,0,0,False,False
8qhw,0,0,0,0,False,False
hfb3,0,0,0,0,False,False
hklh,5,5,0,5,True,True
l2fz,5,0,5,0,True,False
lscq,0,0,0,0,False,False
o5k9,0,0,0,0,False,False
qsdg,13,13,0,10,True,True
r0pn,0,0,0,0,False,False
t7xv,0,0,0,0,False,False
t9je,0,0,0,0,False,False
